participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,34,-668.5,0.0,meridianH,0.49,vertical,left,left,1,1,left_vertical,3,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,35,668.5,0.0,meridianH,0.49,horizontal,right,right,1,2,right_horizontal,4,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,36,0.0,668.5,meridianV,0.88,vertical,up,up,1,1,up_vertical,5,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,37,-668.5,0.0,meridianH,0.49,vertical,left,left,1,2,left_vertical,4,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,38,0.0,668.5,meridianV,0.47,horizontal,up,up,1,1,up_horizontal,8,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,39,0.0,-668.5,meridianV,0.49,vertical,down,down,1,2,down_vertical,4,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,40,0.0,-668.5,meridianV,0.48,vertical,down,down,1,1,down_vertical,5,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,41,668.5,0.0,meridianH,0.78,horizontal,right,right,1,3,right_horizontal,5,highCont
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,42,668.5,0.0,meridianH,0.48,horizontal,right,right,1,1,right_horizontal,6,staircase
STAN17,measure_radialbias,2023-12-07_12h12.49.953,1,15,668.5,266,6,0.176,4,test,43,-668.5,0.0,meridianH,0.48,horizontal,left,left,1,1,left_horizontal,6,staircase
