participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,34,0.0,-668.5,meridianV,0.48,vertical,down,down,1,2,down_vertical,8,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,35,-668.5,0.0,meridianH,0.48,horizontal,left,left,1,1,left_horizontal,5,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,36,668.5,0.0,meridianH,0.87,horizontal,right,right,1,2,right_horizontal,5,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,37,668.5,0.0,meridianH,0.01,horizontal,right,left,0,0,right_horizontal,6,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,38,0.0,668.5,meridianV,0.48,vertical,up,up,1,2,up_vertical,6,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,39,0.0,-668.5,meridianV,0.49,horizontal,down,down,1,1,down_horizontal,3,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,40,0.0,-668.5,meridianV,0.47,vertical,down,down,1,1,down_vertical,9,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,41,0.0,-668.5,meridianV,0.97,horizontal,down,down,1,2,down_horizontal,4,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,42,0.0,668.5,meridianV,0.47,vertical,up,up,1,1,up_vertical,7,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,43,-668.5,0.0,meridianH,0.01,vertical,left,right,0,0,left_vertical,3,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,44,668.5,0.0,meridianH,0.02,horizontal,right,noResp,0,0,right_horizontal,7,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,45,0.0,-668.5,meridianV,0.48,horizontal,down,down,1,1,down_horizontal,5,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,46,668.5,0.0,meridianH,0.8,vertical,right,right,1,3,right_vertical,7,highCont
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,47,0.0,-668.5,meridianV,0.48,horizontal,down,down,1,2,down_horizontal,6,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,48,-668.5,0.0,meridianH,0.48,horizontal,left,left,1,2,left_horizontal,6,staircase
THSO15,measure_radialbias,2023-12-06_16h39.21.910,1,15,668.5,266,6,0.176,4,test,49,0.0,668.5,meridianV,0.49,horizontal,up,up,1,1,up_horizontal,4,staircase
