participant,exp_name,date,session,eccentricity,eccentricityDVA,gaborSize,gaborSizeDVA,gaborSF,gaborSFDVA,training-test,trial,xPosition,yPosition,meridian,contrast,ori,VF,resp,accuracy,accCount,condition,trialCount,contrastRule
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,33,0.0,-668.5,meridianV,0.01,horizontal,down,right,0,0,down_horizontal,4,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,34,-668.5,0.0,meridianH,0.49,vertical,left,left,1,1,left_vertical,4,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,35,0.0,-668.5,meridianV,0.02,vertical,down,down,1,1,down_vertical,7,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,36,0.0,668.5,meridianV,0.93,horizontal,up,up,1,3,up_horizontal,5,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,37,0.0,668.5,meridianV,0.48,horizontal,up,up,1,1,up_horizontal,6,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,38,0.0,-668.5,meridianV,0.02,vertical,down,right,0,0,down_vertical,8,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,39,0.0,668.5,meridianV,0.48,horizontal,up,up,1,2,up_horizontal,7,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,40,-668.5,0.0,meridianH,0.49,vertical,left,left,1,2,left_vertical,5,staircase
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,41,0.0,-668.5,meridianV,0.92,vertical,down,down,1,1,down_vertical,9,highCont
PIFA20,measure_radialbias,2023-12-06_09h30.59.100,1,15,668.5,266,6,0.176,4,test,42,0.0,-668.5,meridianV,0.02,horizontal,down,right,0,0,down_horizontal,5,staircase
